Name,Stars,Short Comments,DatedText,Reviews,Helpfull
Ismail Rishan,5.0 out of 5 stars,Genuine Product,15 November 2015,I'll tell you something serious about Himalaya Productsif you are using it for Pimple clearing then stop using it cuz you'll have more and more pimplesDont use Himalaya products for face wash the best one is Ponds.This product is Genuine and Original but kindly stop using cuz you'll have more skin problems,2 people found this helpful
rinki,5.0 out of 5 stars,as i have a super sensitive type of skin,22 May 2016,have been using it for many years...... really it has no alternative...... i tried other face washes from various reputed companies... but nothing gives me such satisfaction. makes my skin soft glowing and protected from rashes as i have a super sensitive type of skin..,4 people found this helpful
Barnali Goswami,3.0 out of 5 stars,amazon's service is very good and prompt,11 July 2015,Its an ok face wash...it did not have any effect on existing pimples..neither it could prevent the new one...can be used as a normal face wash...amazon's service is very good and prompt..,3 people found this helpful
Payal BanikTOP 1000 REVIEWER,5.0 out of 5 stars,clears the skin but not for dry skin,20 August 2015,I really liked the product. Clears your skin and brightens the skin. Very good face wash. I would recommend it to everyone with normal to oily skin. This is not for dry skin people as it would dry the face a little. So certainly not for dry skin people. Otherwise its a gud product.,Helpful
Ratna Ray,5.0 out of 5 stars,Best fact wash I have used,17 October 2017,Having used the body shop dove and various other products this is the only one I have been sticking to for the last couple of years. It does wonders to prevent pimples (I have highly sensitive and dry skin). This is ideal for the Indian weather.I have been using this daily and managed to get the large sized one on offer. Delivered in 3 days!,2 people found this helpful
AmazonBuyer,5.0 out of 5 stars,Good packaging and a shower friendly bottle.,1 March 2017,The Himalaya face wash needs no introduction the facewash is same but the packaging is much better than the traditional small volume pack.+ve+ easy to grip+ Shower proof+ Good volume+ Dispenses adequate quantity for a single wash.-ve- not made for carrying on trips but you can buy a small pack for that.,One person found this helpful
Monjushree,5.0 out of 5 stars,for problematic skin,2 July 2014,Keep my skin flawless and acne free.After using it for a long span you not only feel fresh but also look fresh.Reccommended for only skin.,Helpful
Zoé H.,5.0 out of 5 stars,Best face wash ever,1 February 2018,Smooth face wash I've been using it for more than 10 years now and it is really my favorite. Gentle with eyes remove makeup easily clean your skin without irritating it leave it fresh smooth and clear. I have a very sensitive skin and lots of face wash leave me with a sensation of burn after shower but this one is very gentle and never had this sensation of burn/heat. best associated with a scrub once a month ?,One person found this helpful
Amazon Customer,2.0 out of 5 stars,Four Stars,16 March 2017,1/4 of the liquid is not completely full .........not as expected,5 people found this helpful
Soni Verma,5.0 out of 5 stars,For oily sensitive & combination skin.,7 March 2018,I received the order on time and #Himalaya is having very good product range. this is the 1st product I ordered and after so many reviews and after using a couple of days I have experienced as follow - product texture is best and it's not very sticky or greasy not even creamy. its give you exact feel like aloe vera but the fragrance will force you to think abt neem. My skin is Oily and sensitive too so on my skin its works wounder after wash it gives me oil free look and soft too. I will recommend this product to combination oily and sensitive skin but will not sure whether this will work on dry skin. but you can give try if you want with trail packs or sample pack 1st.,Helpful
Mancy Khona,4.0 out of 5 stars,Awesome just get it!,4 October 2016,Comparatively cheaper than the rest of the face wash of the same quantity. The ingredients may not be all natural but works great. You can use it for at least about 4 times a day especially when you reach home from outside. The best part is its pump dispenser. Just one drop is enough and it comes with 4 years of validity. Paisa vasool!,Helpful
sohini,5.0 out of 5 stars,loved it,9 April 2016,Reagive some more discount on Himalaya products effective.i always use this and there is no occurrence of pimples now. Hats off to Himalaya herbals and Amazon.but i would love if Amazon provides free delivery on beauty products below rs.499 aNd giv,Helpful
Smartshopper,5.0 out of 5 stars,Yes it does clear and controlled pimples!!! ...,23 May 2015,Yes it does clear and controlled pimples!!! As we know it's not a magical product to clear the pimples with one wash. Have used it twice a day for three days and viola!!! where are the pimples gone! Loving it Galz. My pimple rescuer from you now ;-),Helpful
Miky,3.0 out of 5 stars,Good product stiff material,30 January 2016,Good product stiff material. ideal for hand cleaning but fragrance is very light so a kind of fresh feel is missing. Rather a budget product is better tag for it.,One person found this helpful
Amazon Customer,1.0 out of 5 stars,waste product,13 May 2017,I read so many reviews and then opt for this product its such a waste product i started getting so many pimples  which i generally dont get,4 people found this helpful
Eesha,5.0 out of 5 stars,Perfect face wash for fighting acne,6 September 2017,It is one of the best face wash I have ever used. I have problem of acne and whenever I use different facewash it seems like I am having pimples. But I have observed that whenever I use Himalaya Face Wash the number of pimples popping up has significantly gone down. Citric acid from lemon works I guess.,One person found this helpful
Kunal ~ The Crazy Reviewer!,5.0 out of 5 stars,Five Stars,26 January 2018,Amazing face wash especially if you have pimples. Using it regularly helps to get rid of pimples !,3 people found this helpful
Nandhakumar STOP 1000 REVIEWER,4.0 out of 5 stars,Four Stars,18 June 2017,Gives more foam and feel refreshing. Skin becomes dry after usage of 2 to 3 hours.,3 people found this helpful
A customer,5.0 out of 5 stars,very nice,23 May 2017,Very nice...brought it for rupees 130.Nothing worked so well like this one....tried himalaya face wash for first time and its amazing. Results are vry nic after 2 days application. Its nicely packed and delivered on time.,One person found this helpful
TAPAS KUMAR SHEE,2.0 out of 5 stars,Fake or genuine !,11 December 2017,Confusing about product genuineness. Smell is not like Himalaya face wash. No barcode on the level!,3 people found this helpful
Amazon Customer,4.0 out of 5 stars,Get a good deal in offer,1 September 2017,I got this on a deal for 199 rupees. MRP printed is 250. so good deal.Product is recently manufactured. I think talking about the quality of the face wash in no need to mention as Himalaya is well known and used brand.,One person found this helpful
Amazon Customer,5.0 out of 5 stars,It makes your skin look really clean and fresh. ...,20 June 2016,It makes your skin look really clean and fresh.. though I have got an oily screen and if I use this product in morning it does not hold oil much..but after back from office when you was your face with this it feels really clean.I have been using it since 3 years and no acne yet :),Helpful
SAMEEKSHA,5.0 out of 5 stars,Best of all in this range.,18 August 2017,I have been using this for more than 6 months now and trust me i used tonhave pimples. But now my face is clear  all thanks to this facewash. IT WORK WONDERS ON YOUR FACE.Go for it if u have pimples/acne/oily skin/combination skin.,One person found this helpful
Ramya,5.0 out of 5 stars,great one. got it only for 85 for 100ml ...,27 February 2015,Really all shud try this face wash. great one. got it only for 85 for 100ml and free shipping in amazon. Thanks amazon. Really it works on pimples. you can feel the difference after using this product,Helpful
Sans,5.0 out of 5 stars,A recommended buy,27 December 2015,Best face wash for dirt and also oily skin types.It has no soapy effect caused by other face wash which cause dry skin.,Helpful
saurabh singhTOP 500 REVIEWER,5.0 out of 5 stars,Great but easy on pocket !,7 November 2016,I like the functionality. The opening is not like the regular bottles. It's got different opening which ensures only small amount of face wash comes out. It's practical convenient and cost saving !!,Helpful
Amazon Customer,1.0 out of 5 stars,i have used the other himalya neeam face wash and that works great on my skin,3 February 2017,Not worth i have used the other himalya neeam face wash and that works great on my skin but there is something seriously wrong with this pack. every time i use it i get pimples.,2 people found this helpful
Amazon Customer,4.0 out of 5 stars,The product is average.. it cleans the skin ...,14 November 2015,The product is average.. it cleans the skin very well the only problem is soon after the wash I feel something dry..unlike other products of Himalaya this is not dermatologically tested...,One person found this helpful
Amazon Customer,4.0 out of 5 stars,Plz msg me how to open.. While squeezing ...,28 June 2017,Plz msg me how to open.. While squeezing it is not coming..is it an old product or of low quality.. Plz do something.... Or return the product...,One person found this helpful
Aashish,5.0 out of 5 stars,Best face wash,25 May 2018,Fantastic....I love it.. My friend was getting pimples all over his face and it almost started bleeding... But with continuous 2 days of use once a day all his pimples almost went..It feels fresh and natural..No wonder every one is rating it 5.Go for it,One person found this helpful
ayush chandra,4.0 out of 5 stars,good product for face wash,3 November 2016,good product for face wash after using it you feel fresh and it also helps to remove pimples but after face wash your face might be oily when u touch it.,Helpful
Pragati Gupta,1.0 out of 5 stars,Doesn't suits all skin types,21 June 2018,I have been using this Facewash since long it was going well. But suddenly 1 bottle of Facewash destroyed my face witj Acne and scars. I am so much disappointed with the product. I don't know what go wrong. Not sure if the product delivered to me is original or not.,Helpful
nik,5.0 out of 5 stars,A classic face wash.,4 July 2016,Now in this great avatar. Very comfortable using this bottle than the regular tube.Awesome product n Whatelse to say about this one.,Helpful
shopping_madness,5.0 out of 5 stars,good for oily to normal skin type,26 June 2015,i like this facewash and have been using it from a long time now...helps me keep my face clean..oil free and pimples free..,Helpful
Gayathri,4.0 out of 5 stars,Good,8 July 2016,Really good. Have been using this since 3 years. Cured acne in a short time .l have normal to oily skin. Suits my skin well. In fact I stopped using moisturiser after using this..,Helpful
Amazon Customer,1.0 out of 5 stars,not good.,26 November 2017,If we r purchasing a non returnable item it is expected that product will be sealed pack  but this item is received unsealed......not good.,2 people found this helpful
Twinkle,3.0 out of 5 stars,No changes even after using 10 - 12 days,8 November 2017,I dont think it provides fairer look as its not worth to buy if have pimples on face it doesnt work good. Its not original product. Using since 10 -15 days. Not worth spending money on it.,Helpful
Sharad,5.0 out of 5 stars,Great face wash,29 August 2018,A steal at this price (Rs 179). A 300 ml bottle at the price of a regular 100 ml face wash. The face wash is very gentle and has a great fragrance. Is very soft on the skin. Truly a great product. A must but.,One person found this helpful
Yolo,5.0 out of 5 stars,Five Stars,23 February 2016,Himalaya is the best. Keep giving us great herbal products.,Helpful
sharukh khan,1.0 out of 5 stars,Cheaters,21 November 2016,I refer 10 friend but you cheaters did not gI've any giftcard,2 people found this helpful
kishan patel,1.0 out of 5 stars,Very very bad .,17 September 2017,First of all it is a fake product. If you use it earlier then you can understand why I'm saying that. you can clearly see the difference. Now I'm using it as a handwash.,Helpful
Dr Gaurav,5.0 out of 5 stars,It WORKS....,9 September 2016,I have oily skin with a lot of small small white heads. I tried almost all the good brands face wash none of them worked so effectively as this one. My whites heads stopped erupting and now there is a glow on my face.Highly recommended product,14 people found this helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,11 April 2017,excellent but discount not valid 30%,One person found this helpful
Tazeen khan,4.0 out of 5 stars,very effective,27 February 2016,Use this facewash thrice in summers i.e.(morning afternoon and night ) and twice in winters you can see the difference within 2weeks..,Helpful
Anjana Acharya,5.0 out of 5 stars,Five Stars,19 July 2017,Good face wash. Doesn't dry your skin and suits my skin completely. I have a combination skin,Helpful
M.Bhaumik,5.0 out of 5 stars,Five Stars,18 October 2016,Using it for a long time. Suits my skin..,One person found this helpful
Ricky,4.0 out of 5 stars,Nice,6 June 2016,Nice,Helpful
Dharmesh Umraniya,3.0 out of 5 stars,needs more quantity at this price,22 December 2016,its ok but the quantity is too small,Helpful
amit saha,4.0 out of 5 stars,Good facewash,4 July 2016,It's really good..the neem is good fr skin.it can be used for pimply skin..it gives a soft feeling after washing...,Helpful
Dilip,5.0 out of 5 stars,best as always,10 August 2017,awesome,One person found this helpful
Suyash sahu,5.0 out of 5 stars,good for teenagers,21 December 2017,Good for teenagers who are facing acne and pimples. It also moistened the skin and make it soft. Bottle design is good and convenient.,Helpful
Danish Nasim,5.0 out of 5 stars,Five Stars,12 June 2017,thank you amazon for the best price and quality product,Helpful
Ac,2.0 out of 5 stars,Not for acne.. disappointed,19 December 2017,It doesn’t cure or prevents acne.. My dermatologist suggets to use either Dove or pears coz these r best for the face. Now i only use dove n it’s really helping me to dry up my acne.,Helpful
sajeev,4.0 out of 5 stars,Four Stars,25 April 2017,mrp rate no discount. but product is good,Helpful
Prof.M.P.Jaiswal,4.0 out of 5 stars,Four Stars,27 October 2016,I Liked it.,Helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,6 February 2017,nice fw..take off dirt and oil quite well.,Helpful
surabhi jadon,3.0 out of 5 stars,Three Stars,21 March 2018,Pros: no side effects.Cons: It's usually turn to dry in bottle after using some days..,Helpful
Anil Kumar,4.0 out of 5 stars,Useful one!!,27 July 2017,It's great !!!Takes1 week to erase pimples if u use thrice a day !!I got this for 181where Mrp on it is 250,Helpful
Huzaifa Bohari,5.0 out of 5 stars,Five Stars,11 May 2015,its very good,Helpful
Sanam mehra,5.0 out of 5 stars,Five Stars,12 March 2017,Nice product,One person found this helpful
Rahul Nath,5.0 out of 5 stars,Five Stars,7 November 2016,Perfect..,Helpful
Raashmi,4.0 out of 5 stars,good,1 November 2016,I always go for this. It's good,Helpful
Rahul Datto,5.0 out of 5 stars,It's perfect.,13 April 2017,Does wonderful work...It's a standard face wash and cleans pretty good.,One person found this helpful
Amazon Customer,4.0 out of 5 stars,Botel design,31 October 2016,Good but it should have also pump in place of below lid it is can not fix to Singl place,Helpful
naveen kumar,1.0 out of 5 stars,One Star,18 September 2015,Not Good ...dont Purchase it,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,8 May 2016,I have olys loved this face wash.. Nothing to say much that's d reason I ordered it,Helpful
Praneet Gupta,5.0 out of 5 stars,pimples prevent facewash,11 December 2016,Nice product it helps prevent pimples.,Helpful
Bharat Dighe,5.0 out of 5 stars,Superb facewash - buy,30 August 2017,Most amazing face wash must buy for everyone,Helpful
shivraj chavan,1.0 out of 5 stars,poor,28 October 2015,Face cleaning not as per the expectation,Helpful
pankaj khandare,1.0 out of 5 stars,Fake product.,23 March 2018,Please friends never buy this product.they replaces product content with fake one.it may damaged your skin.I got product with broken seal.,Helpful
Amazon Customer,2.0 out of 5 stars,Two Stars,9 September 2016,Product is fine quality but the bottle is already broken & leakage too.,Helpful
Ravish,4.0 out of 5 stars,Four Stars,13 September 2016,nice,Helpful
Nisha,4.0 out of 5 stars,Four Stars,14 September 2016,I can trust on himalaya,Helpful
ROHITMANE,4.0 out of 5 stars,Good,12 October 2016,Good,Helpful
shaivali,4.0 out of 5 stars,Good,11 April 2017,Good,Helpful
saikumar karampuri,5.0 out of 5 stars,Good,3 May 2016,Good,Helpful
Chakresh,5.0 out of 5 stars,Excellent,25 October 2016,Original product excellent packaging.Feels fresh after using it,Helpful
vishal,4.0 out of 5 stars,Four Stars,19 June 2016,ok,Helpful
shivam,5.0 out of 5 stars,I love himalaya product since 3 year but this is brought ...,25 May 2017,I love himalaya product since 3 year but this is brought of money,Helpful
Puja S.,5.0 out of 5 stars,good product and service,10 September 2016,good product and service,Helpful
G D AIRAN,4.0 out of 5 stars,Four Stars,17 November 2016,good,Helpful
Amazon Customer,5.0 out of 5 stars,Nice,1 November 2016,Good,Helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,2 November 2017,Good,Helpful
Amazon Customer,3.0 out of 5 stars,Three Stars,31 October 2016,Good,Helpful
AMIT SAHOO,3.0 out of 5 stars,Three Stars,15 December 2016,I can say its good and non foaming,Helpful
Partha Mukherjee,2.0 out of 5 stars,Two Stars,9 March 2016,Disputes bottle,Helpful
Pritesh Dhakate,5.0 out of 5 stars,loved it best of all neem face wash,13 March 2017,loved itbest of all neem face wash types,Helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,10 January 2017,Good product!,Helpful
Amazon Customer,5.0 out of 5 stars,Dramaz product,20 March 2017,Dramaz product,One person found this helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,22 March 2016,nice...........,Helpful
Amazon Customer,2.0 out of 5 stars,Not good,10 November 2016,This item is damaged delivered and duplicate,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,24 October 2016,First time using nice face wash,Helpful
Amazon Customer,2.0 out of 5 stars,Two Stars,12 November 2016,Good,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,3 December 2016,Himalaya in best face wash,Helpful
Rajni sharma,5.0 out of 5 stars,Very nice,20 October 2016,very nice  Excellent ! Product.,Helpful
Gagan,5.0 out of 5 stars,best,22 July 2018,Best,Helpful
Amazon Customer,5.0 out of 5 stars,Very nice facewash,31 October 2016,Great facewash highly recommended,Helpful
anonymous,4.0 out of 5 stars,Four Stars,19 June 2016,Ok product.,Helpful
Amazon Customer,5.0 out of 5 stars,good value for money,8 March 2017,The best I had purchased ever from Amazon,Helpful
honest reviews,3.0 out of 5 stars,dont expect miracle,16 May 2014,it works as it says...remove excess oil dirt and also dead skin...good for instant glow..but does not work like magic..,12 people found this helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,12 December 2016,Very good product .Thanks Amazon,Helpful
Anil mammoodu,5.0 out of 5 stars,Five Stars,22 August 2017,I like it,Helpful
Customer,5.0 out of 5 stars,Thanks for amazon,8 November 2016,Good deal,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,4 April 2017,Excellent,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,23 October 2016,Good product,Helpful
Aarav,5.0 out of 5 stars,Five Stars,19 June 2017,good,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,12 August 2017,Good,Helpful
Amazon Customer,3.0 out of 5 stars,Average product,5 June 2016,The biggest pro of this face wash is that it is very budget friendly.. But from my personal experience i would say that this face wash doesn't seem very helpful for oily skin.. My face again got oily after washing my face with this facewash within just 30 minutes.. However the fragrance is very nice herbal and soothing.. I will recommend this face wash for only normal to dry skinned people.,5 people found this helpful
RS,1.0 out of 5 stars,Not worth the hype,15 September 2017,I don't know why people are so obsessed with this facewash. It doesn't not suit acne prone skin it actually increased my pimples instead of reducing them does not remove make up completely does not suit oily skin. If you have oily acne prone sensitive skin like mine and if you are desperate to find a solution then try some other facewash perhaps one containing glycolic acid and stay away from this face wash. This is a very mild face wash which will suit only normal skin which does not get acne.,One person found this helpful
Amazon Customer,5.0 out of 5 stars,Best face wash for pimple prone skin.,13 April 2017,This is the best face wash I have ever used. I have been using it for around 4-5 months now and do not intend to change this. After trying myltiple products this is the only one I found that does what it says. Will definitely recommend to all.,2 people found this helpful
JYOTHISH C V,5.0 out of 5 stars,Good product for normal to oily skin,28 April 2017,I am using this product for last 3 yrs and find to be very good for my normal-oily skin.PronsAffordable and easily available any wherePrevents pimples and cures acne breakouts within few days of usage.Safe to use on sensitive skin type.With regular use it fades out acne scar and clears black heads.ConsThe product package is not travel friendlyNot for dry skin type.,One person found this helpful
milka,5.0 out of 5 stars,Holy grail product ???,20 September 2018,I have oily sensitive highly acne prone skin.. Used almost all facewashes that meant for my skin type from high end to affordable ones.. But nothing works on me..and my skin become dry and leads to more oil prodction and it cause more breakouts ????. Then my husband bought a travel size 20ml this facewash for him in our trip... And at that time I just used it.. Oh god.. It started to work on me like magic... my skin redness reduced big pimples become dried small ones vanished and my skin become smooth and soft.. Now m addicted to this facewash..it clears up my face.. Now m pimple free girl... Thank you so much Himalaya for this wounderful product..??????????????????????????????????????????????????,Helpful
KSJ,1.0 out of 5 stars,No Form at all,9 January 2016,This is hopeless product. Better move to Ponds or Pears,Helpful
Ulhas Pawar,4.0 out of 5 stars,nice product in not so good bottle,9 June 2017,Nice productBut shower compatible bottle is not that good. Pours more than needed each time you squeeze. Hence minus one star,Helpful
ALAN HERBERT,5.0 out of 5 stars,Five Stars,2 February 2017,superb,Helpful
DHANI RAM,5.0 out of 5 stars,Five Stars,7 February 2017,Very good product,Helpful
PEERAJ MAZUMDER,5.0 out of 5 stars,Five Stars,10 February 2017,nice,Helpful
Amazon Customer,2.0 out of 5 stars,ITS WASTE,30 March 2017,ITS WASTE,One person found this helpful
Thiagarajan Rajaram,2.0 out of 5 stars,Good product undone by the poor bottle design,2 November 2016,Product is good; however did not like the design of the dispenser. It's actually makes the dispensing difficult. Dispensing handle should have been little longer and smoother to operate. Also it become unusable while we have some quantity left in the bottle. I had to throw the dispensing handle out for the last 10-15 washes. Better opt for the regular tube based ones which is a lot easier to use.,One person found this helpful
Amazon Customer,1.0 out of 5 stars,One Star,24 April 2017,Product is damage,Helpful
Abhijit Roy.,4.0 out of 5 stars,Good face wash,23 October 2016,My wife is using it and she is totally satisfied with the product. Though her skin is very sensitive other brands are not suitable for her skin. This only brand - Himalaya suits her. Very good face wash from Himalaya.,Helpful
Swarup,2.0 out of 5 stars,Doesn't suit my skin. Not for everyone.,9 October 2017,Don't know why I am getting pimples after using it. Previously i was using Garnier facewash it was the best. Thought of trying this. I am disappointed with this product will shift to using Garnier again.,Helpful
Shabnam,4.0 out of 5 stars,Best for oily pimple porn skin,6 October 2017,All in all a very good facewash if u have oily skin. Best to be used by oily-pimple-porn skin beauties.summers r d best days to use otherwise it will dry d skin in winters or dry days.,Helpful
SABA NAAZ,5.0 out of 5 stars,i love Himalaya Neem,25 July 2018,i loveHimalaya Neem FaceTHANK YOU AMAZON,One person found this helpful
Preety,5.0 out of 5 stars,Awesome product 4m Himalaya,18 May 2018,Awesome product 4m Himalaya..feels refresh 4 long time.easily washable.a recommended product 4m Himalaya n for all type of skin.personally tested..bought 300 ml for rs 180,Helpful
Navya,5.0 out of 5 stars,Best product 100% pure Baba ramdev ji ka ksra produt ...,30 October 2017,Best product 100% pureBaba ramdev ji ka ksra produt koGattar me daldo..,Helpful
Iren Zun,5.0 out of 5 stars,Worth the money,1 October 2017,At this price its excellent but thinner than others . Got this deal at 160rs only ... pretty much happy with the purchase....go for it its good ...,Helpful
Shruti G.,5.0 out of 5 stars,I've combination skin and this is the best face wash amongst the so many different brands I've ...,25 July 2017,I've combination skin and this is the best face wash amongst the so many different brands I've used in the past. It doesn't make your skin dry after wash.,Helpful
smita,5.0 out of 5 stars,Good work Himalaya,13 September 2017,It works. Removes oil for long time and improves skin pores and adds glow to skin. Good work Himalaya!,Helpful
Prashant Chaturvedi,5.0 out of 5 stars,Nice,28 July 2018,Nice face wash,Helpful
Priyanka,5.0 out of 5 stars,The best face wash ever ??,18 June 2018,Whenever in trouble with my skin I know only this problem can deal with it..,Helpful
Amazon Customer,1.0 out of 5 stars,Received Duplicate Product of Himalaya neem face wash,16 October 2016,I think i recd. Duplicate product of himalaya neem face wash because it is not as same quality as i purchased from local market.,One person found this helpful
Willy,3.0 out of 5 stars,I hope to not offend our very own Indian brand,8 April 2017,Himalaya have always produced good quality products in the market from decades and kept their reputation on top so that to reach out to more Indian talking about their brand and all together sharing good value.But its neem face fash..?Yup... I got a tragic question here and i would like to rant further about the same and expect readers to go through it before shedding out any bucks for em.This face wash promises to help out vanish pimples and pimple related bacteria from our face.Okay... However i have noticed a thing after using this face wash on a regular scale thatThis face wash purely fails to prove anything over their package printed promise.Half of the bottle is finished and im yet to see any pimple vanishes over my face.... Anticipating that blemish free pimple free and other-free glowing skin.Im not saying that not even a single pimple have obliterated from my face...If i would like to be evident then i will mention that yeah...the process of pimples vanishing and retracting on my face is an everyday event and this face wash may or may not assisted me helped me getting rid of some of the pimples... But again even before when i was not using this face wash the condition was no so different.Pimples were still going in and out of my face... Just like a pure process.So... I reckon the only way to actually bid good bye to our antagonist ie our very own face pimplesThen Don't just depend on using a face wash and then gorging on other oil stuffed related food.Having a healthy lifestyle first and see you may not even have to apply anything over your face because your coming to a conclusion that outer appearance is not a big thing... And shedding money on it.. Is never a dealing,One person found this helpful
Amazon Customer,5.0 out of 5 stars,Worth Trying,24 November 2017,I got it for very reasonable price. Thank you Amazon.,Helpful
Amazon customer,4.0 out of 5 stars,Small Cut on product,7 September 2017,Product is okay but there was small cut on bottle through which the gel was leaking... Got it in rs.150...mrp rs 230.. satisfied..!!,Helpful
Dr.Suman Adhikari,5.0 out of 5 stars,Good product,7 April 2018,Good product,Helpful
siddesh Chopdekar,4.0 out of 5 stars,Oo,16 September 2018,Ok,Helpful
Madan jain whall methi sellar,5.0 out of 5 stars,Five Stars,5 June 2016,Himalaya no1 aayurvedic product....baki patjali to kasra he usko use kane wale bawkuf he,Helpful
Gowthi,5.0 out of 5 stars,Must go...,18 January 2018,Good one at low price..,Helpful
Abhishek M,5.0 out of 5 stars,Good product for summer use,16 April 2018,Good product for use in summers leaves a fresh and rejuvenating feeling on the face. And original product received.,Helpful
Divya,1.0 out of 5 stars,Nt gd,19 July 2018,Not suitable for my skin got pimples after using this,Helpful
Aadi,3.0 out of 5 stars,Fine !,2 October 2017,Good neem based facewash...,Helpful
Mousumi G.,5.0 out of 5 stars,Original product... worth its brand name. ...,27 November 2017,Original product...worth its brand name..,Helpful
Sankar Pradhan,5.0 out of 5 stars,Five Stars,9 June 2018,very nice,Helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,16 April 2018,A gud face wash which makes my skin pimple free,Helpful
Sandeep Patel,5.0 out of 5 stars,nice product packaging is good as always,24 September 2017,Delivered today!!got it for 149rs. nice product packaging is good as always.and expiry is 2020.,Helpful
Karishma Khanna,5.0 out of 5 stars,Five Stars,26 July 2016,It's the best face wash which cleans your skin and beautifies you...a must use in daily life,Helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,15 December 2016,Nice product ??,Helpful
??????,4.0 out of 5 stars,Worth for money must buy,2 June 2017,Full amount as described 200ml. And best packaging also.Only one problem that delivery is so late.....,Helpful
Ridhi Aggarwal,5.0 out of 5 stars,Exellent,6 November 2015,Really nice face washI know it gives some breakout after using it.... Because it removes impurities from deep skin...So don't get upset if u got some breakout....It helps in removing impurities in the form of pimples.....When you use this face wash daily twice......but one more thing u must adopt toner or rose water after washing your face and must apply oil free moisturizer....I also don't like this face wash because of breakouts but when I know the reason of break outs.....and after few weeks I see the difference in my skin.....I just love this face wash.....Now my skin gets clear and pimple free....Don't get upset just use it and see the diffrence,One person found this helpful
Suresh,5.0 out of 5 stars,Five Stars,11 October 2017,Best product for best price,Helpful
Atul,4.0 out of 5 stars,Four Stars,11 November 2017,Works well,Helpful
My ChoiceTOP 500 REVIEWER,5.0 out of 5 stars,Clean Face,29 October 2017,Superb Product. It's best Product for daily use. Once Use It defenetly You will get result After washing face feeling better. Don't think just go for it.,4 people found this helpful
ssv,4.0 out of 5 stars,Four Stars,19 August 2015,This was very useful in reducing pimples which docs had no meds to.,Helpful
vinny,4.0 out of 5 stars,best,30 August 2016,go for it,One person found this helpful
Tuhin De,4.0 out of 5 stars,Good product but highly priced in Amazon,31 May 2016,Its a very good product but it's available at a much cheaper price in local stores..,Helpful
Akriti,1.0 out of 5 stars,Good for oily skin.,13 March 2015,It's not for all skin types. If you have dry skin just don't try this.,One person found this helpful
harsha,5.0 out of 5 stars,amazing product,25 November 2015,My pimples are gone!!!!!!! Buy it helped me so much.but dont use too much.it can damage your skin.best product.good speed delivery,Helpful
Enayathullah,2.0 out of 5 stars,Disappointed,21 May 2016,The spring knob doesn't work. Big disappointment.,2 people found this helpful
Amazon Member,5.0 out of 5 stars,Five star,23 September 2017,Excellent product,Helpful
D Rajesh,4.0 out of 5 stars,Four Stars,4 November 2016,nice one,Helpful
Jazzy,5.0 out of 5 stars,Five Stars,4 January 2018,Good product,Helpful
Pranav Garg,4.0 out of 5 stars,Four Stars,4 September 2017,A perfect everyday facewash,Helpful
Nivedita Chakraborty,5.0 out of 5 stars,Five Stars,4 October 2016,Its best for pimples....,One person found this helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,19 October 2017,Product is very nice,Helpful
Amazon Customer,2.0 out of 5 stars,Two Stars,15 October 2017,Good,Helpful
Tarun J,5.0 out of 5 stars,Nice product. Good to use,18 February 2016,I was blown away with the packaging. Nice product. Good to use.,Helpful
gopakumar maikkara,5.0 out of 5 stars,Nice product amazon great,2 April 2016,My favourite face wash .,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,19 September 2016,best facewash,Helpful
Nidhin,5.0 out of 5 stars,Five Stars,27 June 2015,It prevents pimples. 100% satisfaction,Helpful
RADHAKRISHNAN N,5.0 out of 5 stars,Five Stars,22 November 2016,good,Helpful
Dr. Johnson C. PhilipTOP 500 REVIEWER,5.0 out of 5 stars,Good Formulation For Acne/Pimples,18 February 2014,Himalaya drugs is a pioneer in herbal medicines and they are to be commended for the way they placed Indian herbal knowledge on a modern scientific pedestal.This cream is made of a blend of Neem and Turmeric. Both of these are known for their benevolent effect upon skin. In combination they can be a great help to those who suffer from acne/pimples. What is more the formulation is very pleasant to use. Being herbal formulations there is no reported side effects -- though all medications herbal or allopathic always need to be tested before one uses them regularly.I highly recommend this herbal face wash.,3 people found this helpful
Vivek Tiwari,5.0 out of 5 stars,good..,6 January 2016,good....,Helpful
Nirmala Devi,4.0 out of 5 stars,Excellent,27 June 2015,Excellent product...,Helpful
Prasanth,5.0 out of 5 stars,nice,12 October 2014,Works well,Helpful
